"district","age","life_exp","gender","municipality_id"
"Moncloa-Aravaca","90 a 94 años",4.21,"Hombre","28079"
"Latina","90 a 94 años",4.74,"Hombre","28079"
"Carabanchel","90 a 94 años",4.35,"Hombre","28079"
"Usera","90 a 94 años",5.12,"Hombre","28079"
"Puente de Vallecas","90 a 94 años",4.35,"Hombre","28079"
"Moratalaz","90 a 94 años",4.78,"Hombre","28079"
"Ciudad Lineal","90 a 94 años",4.38,"Hombre","28079"
"Hortaleza","90 a 94 años",4.24,"Hombre","28079"
"Villaverde","90 a 94 años",4.04,"Hombre","28079"
"Villa de Vallecas","90 a 94 años",4.59,"Hombre","28079"
"Vicálvaro","90 a 94 años",4.26,"Hombre","28079"
"San Blas-Canillejas ","90 a 94 años",3.94,"Hombre","28079"
"Barajas","90 a 94 años",3.63,"Hombre","28079"
"Centro","95 y más años",2.53,"Hombre","28079"
"Arganzuela","95 y más años",2.91,"Hombre","28079"
"Retiro","95 y más años",3.28,"Hombre","28079"
"Salamanca","95 y más años",2.92,"Hombre","28079"
"Chamartín","95 y más años",2.76,"Hombre","28079"
"Tetuán","95 y más años",3.47,"Hombre","28079"
"Chamberí","95 y más años",2.9,"Hombre","28079"
"Fuencarral-El Pardo","95 y más años",2.79,"Hombre","28079"
"Moncloa-Aravaca","95 y más años",3.13,"Hombre","28079"
"Latina","95 y más años",3.15,"Hombre","28079"
"Carabanchel","95 y más años",2.45,"Hombre","28079"
"Usera","95 y más años",3,"Hombre","28079"
"Puente de Vallecas","95 y más años",2.76,"Hombre","28079"
"Moratalaz","95 y más años",3.23,"Hombre","28079"
"Ciudad Lineal","95 y más años",2.63,"Hombre","28079"
"Hortaleza","95 y más años",2.38,"Hombre","28079"
"Villaverde","95 y más años",2.48,"Hombre","28079"
"Villa de Vallecas","95 y más años",3.36,"Hombre","28079"
"Vicálvaro","95 y más años",3.24,"Hombre","28079"
"San Blas-Canillejas ","95 y más años",2.17,"Hombre","28079"
"Barajas","95 y más años",2.17,"Hombre","28079"
"Centro","Menos de 1 año",86.38,"Mujer","28079"
"Arganzuela","Menos de 1 año",87.21,"Mujer","28079"
"Retiro","Menos de 1 año",87.16,"Mujer","28079"
"Salamanca","Menos de 1 año",86.54,"Mujer","28079"
"Chamartín","Menos de 1 año",87.03,"Mujer","28079"
"Tetuán","Menos de 1 año",86.07,"Mujer","28079"
"Chamberí","Menos de 1 año",86.21,"Mujer","28079"
"Fuencarral-El Pardo","Menos de 1 año",86.36,"Mujer","28079"
"Moncloa-Aravaca","Menos de 1 año",86.18,"Mujer","28079"
"Latina","Menos de 1 año",87.33,"Mujer","28079"
"Carabanchel","Menos de 1 año",86.86,"Mujer","28079"
"Usera","Menos de 1 año",86.33,"Mujer","28079"
"Puente de Vallecas","Menos de 1 año",85.81,"Mujer","28079"
"Moratalaz","Menos de 1 año",87.44,"Mujer","28079"
"Ciudad Lineal","Menos de 1 año",87.4,"Mujer","28079"
"Hortaleza","Menos de 1 año",87.11,"Mujer","28079"
